Sticky Trap ID,Distance (m),Taxon,Count
T0_1,0,Aedes aegypti,16
T0_1,0,Culex pipiens,29
T0_1,0,Anopheles gambiae,23
T0_1,0,Sciaridae spp.,23
T0_1,0,Cecidomyiidae spp.,23
T0_1,0,Chironomidae spp.,27
T0_1,0,Tipulidae spp.,26
T0_1,0,Simuliidae spp.,2
T0_2,0,Aedes aegypti,16
T0_2,0,Culex pipiens,25
T0_2,0,Anopheles gambiae,34
T0_2,0,Sciaridae spp.,24
T0_2,0,Cecidomyiidae spp.,37
T0_2,0,Chironomidae spp.,27
T0_2,0,Tipulidae spp.,23
T0_2,0,Simuliidae spp.,3
T0_3,0,Aedes aegypti,22
T0_3,0,Culex pipiens,9
T0_3,0,Anopheles gambiae,26
T0_3,0,Sciaridae spp.,26
T0_3,0,Cecidomyiidae spp.,16
T0_3,0,Chironomidae spp.,23
T0_3,0,Tipulidae spp.,24
T0_3,0,Simuliidae spp.,5
T5_1,5,Aedes aegypti,13
T5_1,5,Culex pipiens,9
T5_1,5,Anopheles gambiae,23
T5_1,5,Sciaridae spp.,16
T5_1,5,Cecidomyiidae spp.,14
T5_1,5,Chironomidae spp.,12
T5_1,5,Tipulidae spp.,29
T5_1,5,Simuliidae spp.,12
T5_2,5,Aedes aegypti,13
T5_2,5,Culex pipiens,23
T5_2,5,Anopheles gambiae,19
T5_2,5,Sciaridae spp.,28
T5_2,5,Cecidomyiidae spp.,13
T5_2,5,Chironomidae spp.,30
T5_2,5,Tipulidae spp.,19
T5_2,5,Simuliidae spp.,9
T5_3,5,Aedes aegypti,35
T5_3,5,Culex pipiens,6
T5_3,5,Anopheles gambiae,14
T5_3,5,Sciaridae spp.,21
T5_3,5,Cecidomyiidae spp.,21
T5_3,5,Chironomidae spp.,24
T5_3,5,Tipulidae spp.,28
T5_3,5,Simuliidae spp.,12
T10_1,10,Aedes aegypti,13
T10_1,10,Culex pipiens,20
T10_1,10,Anopheles gambiae,19
T10_1,10,Sciaridae spp.,14
T10_1,10,Cecidomyiidae spp.,8
T10_1,10,Chironomidae spp.,21
T10_1,10,Tipulidae spp.,7
T10_1,10,Simuliidae spp.,8
T10_2,10,Aedes aegypti,22
T10_2,10,Culex pipiens,9
T10_2,10,Anopheles gambiae,21
T10_2,10,Sciaridae spp.,21
T10_2,10,Cecidomyiidae spp.,16
T10_2,10,Chironomidae spp.,7
T10_2,10,Tipulidae spp.,12
T10_2,10,Simuliidae spp.,21
T10_3,10,Aedes aegypti,15
T10_3,10,Culex pipiens,24
T10_3,10,Anopheles gambiae,19
T10_3,10,Sciaridae spp.,24
T10_3,10,Cecidomyiidae spp.,13
T10_3,10,Chironomidae spp.,9
T10_3,10,Tipulidae spp.,15
T10_3,10,Simuliidae spp.,1
T20_1,20,Aedes aegypti,16
T20_1,20,Culex pipiens,18
T20_1,20,Anopheles gambiae,3
T20_1,20,Sciaridae spp.,11
T20_1,20,Cecidomyiidae spp.,19
T20_1,20,Chironomidae spp.,11
T20_1,20,Tipulidae spp.,14
T20_1,20,Simuliidae spp.,10
T20_2,20,Aedes aegypti,15
T20_2,20,Culex pipiens,4
T20_2,20,Anopheles gambiae,15
T20_2,20,Sciaridae spp.,14
T20_2,20,Cecidomyiidae spp.,12
T20_2,20,Chironomidae spp.,9
T20_2,20,Tipulidae spp.,3
T20_2,20,Simuliidae spp.,16
T20_3,20,Aedes aegypti,3
T20_3,20,Culex pipiens,5
T20_3,20,Anopheles gambiae,15
T20_3,20,Sciaridae spp.,21
T20_3,20,Cecidomyiidae spp.,10
T20_3,20,Chironomidae spp.,15
T20_3,20,Tipulidae spp.,5
T20_3,20,Simuliidae spp.,22
T40_1,40,Aedes aegypti,4
T40_1,40,Culex pipiens,6
T40_1,40,Anopheles gambiae,2
T40_1,40,Sciaridae spp.,3
T40_1,40,Cecidomyiidae spp.,7
T40_1,40,Chironomidae spp.,6
T40_1,40,Tipulidae spp.,3
T40_1,40,Simuliidae spp.,5
T40_2,40,Aedes aegypti,1
T40_2,40,Culex pipiens,12
T40_2,40,Anopheles gambiae,6
T40_2,40,Sciaridae spp.,6
T40_2,40,Cecidomyiidae spp.,9
T40_2,40,Chironomidae spp.,6
T40_2,40,Tipulidae spp.,6
T40_2,40,Simuliidae spp.,2
T40_3,40,Aedes aegypti,7
T40_3,40,Culex pipiens,6
T40_3,40,Anopheles gambiae,6
T40_3,40,Sciaridae spp.,5
T40_3,40,Cecidomyiidae spp.,10
T40_3,40,Chironomidae spp.,8
T40_3,40,Tipulidae spp.,2
T40_3,40,Simuliidae spp.,2
