"Fertilizer_Level","Algal_Cover_Percent"
"Low",16.9
"Low",13.3
"Low",13.9
"Low",14.4
"Low",14.4
"Low",15.2
"Low",16.5
"Low",19.3
"Low",10.7
"Low",15.1
"Low",15
"Low",12.7
"Low",16.2
"Low",17.3
"Low",14.6
"Low",16.8
"Low",15.3
"Low",13.5
"Low",18.1
"Low",14.4
"Medium",23.8
"Medium",19.1
"Medium",23.2
"Medium",26.3
"Medium",22.4
"Medium",17.3
"Medium",23.2
"Medium",23
"Medium",21.7
"Medium",20.8
"Medium",21.1
"Medium",19.1
"Medium",25.1
"Medium",22
"Medium",19.9
"Medium",21.3
"Medium",23.2
"Medium",20.7
"Medium",27
"Medium",24.7
"High",26.1
"High",30
"High",30.3
"High",33.8
"High",27
"High",28.2
"High",28.2
"High",28.6
"High",30.5
"High",23.2
"High",30.1
"High",31.4
"High",25.4
"High",30.3
"High",27.7
"High",26.8
"High",28.8
"High",30.7
"High",33.7
"High",33.2
